model,num_param
adv_inception_v3,23834568
bat_resnext26ts,10731200
beit_base_patch16_224,86530984
beitv2_base_patch16_224,86530984
botnet26t_256,12488672
cait_m36_384,271221352
coat_lite_mini,11011560
coatnet_0_rw_224,27435562
coatnext_nano_rw_224,14701244
convit_base,86540040
convmixer_768_32,21110248
convnext_atto,3695520
crossvit_9_240,8553296
cs3darknet_focus_l,21151720
cs3edgenet_x,47821120
cs3se_edgenet_x,50721584
cs3sedarknet_l,21913592
cspdarknet53,27642184
cspresnet50,21616168
cspresnext50,20569896
cspdarknet53,27642184
darknetaa53,36022984
deit3_base_patch16_224,86585320
deit3_base_patch16_224,86585320
densenet121,7978856
densenet161,28681000
densenet169,14149480
densenet201,20013928
densenetblur121d,7998088
dla102,33268888
dla102x,26309272
dla102x2,41282200
dla169,53389720
dla34,15742104
dla46_c,1301400
dla46x_c,1068440
dla60,22036632
dla60x,17352344
dm_nfnet_f0,71489284
dpn107,86917800
dpn131,79254504
dpn68,12611602
dpn68b,12611602
dpn92,37668392
dpn98,61570728
eca_botnext26ts_256,10593301
ecaresnet101d,44568563
ecaresnet269d,102093077
ecaresnet26t,16011916
ecaresnet50d,25576350
ecaresnet50t,25573814
ecaresnetlight,30162046
edgenext_base,18511292
efficientformer_l1,12289928
efficientnet_b0,5288548
efficientnetv2_rw_m,53236442
densenet121,7978856
ese_vovnet19b_dw,6543080
fbnetc_100,5572200
fbnetv3_b,8598464
gc_efficientnetv2_rw_t,13677713
gcresnet33ts,19880698
gcresnet50t,25897080
gcresnext26ts,10476600
gcresnext50ts,15667320
gcvit_base,90320836
gernet_l,31078280
ghostnet_100,5182508
gluon_inception_v3,23834568
gmixer_24_224,24721096
gmlp_s16_224,19422656
halo2botnet50ts_256,22635360
halonet26t,12480288
halonet50ts,22733280
haloregnetz_b,11680072
hardcorenas_a,5260232
hrnet_w18,21299004
ecaresnetlight,30162046
adv_inception_v3,23834568
jx_nest_base,67723368
lambda_resnet26rpt_256,10988688
lamhalobotnet50ts_256,22569824
lcnet_050,1880856
legacy_senet154,115088984
levit_128,9213936
maxvit_nano_rw_256,15451148
maxxvit_rmlp_nano_rw_256,16779628
convmixer_768_32,21110248
mixnet_l,7329252
mnasnet_100,4383312
mobilenetv2_050,1968680
mobilenetv3_large_100,5483032
mobilevit_s,5578632
mobilevitv2_050,1370593
mvitv2_base,51472744
nasnetalarge,88753150
convnext_tiny_hnf,28589128
dm_nfnet_f0,71489284
pit_b_224,73764840
pnasnet5large,86057668
poolformer_m36,56172520
pvt_v2_b0,3666760
regnetv_040,20640640
regnetx_002,2684792
regnety_002,3162996
haloregnetz_b,11680072
repvgg_a2,28210600
res2net101_26w_4s,45206688
res2net50_14w_8s,25059816
res2next50,24671464
resmlp_12_224,15350872
resnest101e,48275016
resnest14d,10611688
resnest200e,70201544
resnest269e,110929480
resnest26d,17069448
resnest50d,27483240
ecaresnet101d,44568563
ecaresnet101d,44568563
resnet10t,5435488
resnet14t,10081632
gluon_resnet152_v1b,60192808
resnet152d,60212040
gluon_resnet18_v1b,11689512
resnet18d,11708744
resnet200d,64693064
ecaresnet26t,16011916
resnet26d,16014408
ecaresnet26t,16011916
resnet32ts,17963616
eca_resnet33ts,19676302
gluon_resnet34_v1b,21797672
resnet34d,21816904
cspresnet50,21616168
ecaresnet50d,25576350
resnet51q,35696920
resnet61q,36846968
resnetaa50,25557032
resnetblur50,25557032
resnetrs101,63618696
resnetrs152,86621576
resnetrs200,93209992
resnetrs270,129861448
resnetrs350,163956168
resnetrs420,191891656
resnetrs50,35691912
resnetv2_50,25549352
gluon_resnext101_32x4d,44177704
bat_resnext26ts,10731200
cspresnext50,20569896
resnext50d_32x4d,25048136
rexnet_100,4796873
sebotnet33ts_256,13701984
sehalonet33ts,13691712
selecsls42b,32458248
selecsls60,30670768
selecsls60b,32774064
semnasnet_075,2912278
sequencer2d_l,54298216
seresnet152d,66841080
seresnet33ts,19779200
legacy_seresnet50,28088024
gluon_seresnext101_32x4d,48955416
seresnext101d_32x8d,93588280
seresnext26d_32x4d,16809512
seresnext26t_32x4d,16806976
seresnext26ts,10388064
gluon_seresnext50_32x4d,27559896
seresnextaa101d_32x8d,93588280
skresnet18,11958056
skresnet34,22282376
skresnext50_32x4d,27479784
spnasnet_100,4421616
ssl_resnet18,11689512
swin_base_patch4_window7_224,87768224
swinv2_base_window8_256,87918816
swsl_resnet18,11689512
efficientformer_l1,12289928
tinynet_a,6187972
tnt_s_patch16_224,23755336
tresnet_l,55989256
beitv2_base_patch16_224,86530984
twins_pcpvt_base,43828456
vgg11,132863336
vgg13,133047848
vgg16,138357544
vgg19,143667240
visformer_small,40219592
convit_base,86540040
volo_d1_224,26632040
wide_resnet50_2,68883240
gluon_xception65,39916312
xception41,26969560
xception41p,26907752
gluon_xception65,39916312
xception65p,39819560
xception71,42338736
xcit_large_24_p8_224,188932648
